doc,Topic #1,Topic #2,Topic #3,Topic #4,Topic #5
AH 2015 001 - clean.txt,0.043750536,0.19052926,0.22933374,0.00034579277,0.5360407
AH 2015 002 - clean.txt,3.907751e-05,0.9998438,3.928587e-05,3.862395e-05,3.918663e-05
AH 2015 003 - clean.txt,3.168564e-05,3.176188e-05,3.1847285e-05,3.1308653e-05,0.9998734
AH 2015 004 - clean.txt,3.1559754e-05,3.163008e-05,0.9998741,3.108346e-05,3.1666485e-05
AH 2015 005 - clean.txt,0.9998961,2.6051359e-05,2.6065698e-05,2.5696248e-05,2.6077112e-05
AH 2015 006 - clean.txt,2.2847278e-05,2.2925246e-05,0.99990875,2.2549799e-05,2.2902663e-05
