topic,word,score
0,sun,0.021
0,1966,0.010
0,production,0.009
0,sung,0.008
0,yinghsing,0.007
0,one,0.007
0,used,0.006
0,catty,0.006
0,century,0.005
0,use,0.005
1,sun,0.001
1,production,0.001
1,sung,0.001
1,yinghsing,0.001
1,1966,0.001
1,used,0.001
1,one,0.001
1,catty,0.001
1,use,0.001
1,century,0.001
2,sun,0.001
2,1966,0.001
2,production,0.001
2,sung,0.001
2,used,0.001
2,one,0.001
2,catty,0.001
2,yinghsing,0.001
2,century,0.001
2,day,0.001
