topic,word,score
0,accounting,0.001
0,professional,0.001
0,accountant,0.001
0,profession,0.001
0,status,0.001
0,professionalisation,0.001
0,knowledge,0.001
0,social,0.001
0,research,0.001
0,within,0.001
1,accounting,0.022
1,profession,0.017
1,professional,0.012
1,status,0.010
1,accountant,0.009
1,professionalisation,0.009
1,knowledge,0.008
1,research,0.006
1,social,0.006
1,within,0.005
2,accounting,0.001
2,profession,0.001
2,status,0.001
2,accountant,0.001
2,professional,0.001
2,knowledge,0.001
2,professionalisation,0.001
2,research,0.001
2,within,0.001
2,social,0.001
