topic,word,score
1,accounting,0.013
1,domesday,0.007
1,sun,0.006
1,new,0.005
1,cost,0.005
1,system,0.004
1,century,0.004
1,one,0.004
1,work,0.004
1,zealand,0.003
1,accountant,0.003
1,land,0.003
1,also,0.003
1,production,0.003
1,technique,0.003
1,1,0.003
1,development,0.003
1,sung,0.003
1,time,0.003
1,william,0.003
2,peddie,0.007
2,hbc,0.006
2,professional,0.006
2,trade,0.005
2,accounting,0.005
2,also,0.005
2,member,0.005
2,society,0.004
2,accountant,0.004
2,post,0.004
2,good,0.004
2,council,0.004
2,fur,0.004
2,year,0.003
2,cornelius,0.003
2,sae,0.003
2,would,0.003
2,outfit,0.003
2,public,0.003
2,simpson,0.003
3,accounting,0.023
3,history,0.022
3,historical,0.013
3,historian,0.013
3,past,0.009
3,research,0.007
3,event,0.007
3,scholar,0.005
3,evidence,0.005
3,critical,0.005
3,fact,0.004
3,may,0.004
3,present,0.003
3,social,0.003
3,issue,0.003
3,theory,0.003
3,journal,0.003
3,source,0.003
3,view,0.003
3,1,0.003
4,accounting,0.017
4,profession,0.013
4,professional,0.010
4,status,0.008
4,accountant,0.008
4,professionalisation,0.007
4,knowledge,0.006
4,research,0.005
4,social,0.005
4,within,0.004
4,also,0.003
4,p,0.003
4,association,0.003
4,state,0.003
4,group,0.003
4,society,0.003
4,vocation,0.003
4,factor,0.003
4,process,0.003
4,literature,0.002
