topic,word,score
0,peddie,0.011
0,professional,0.009
0,society,0.007
0,member,0.007
0,accountant,0.007
0,also,0.006
0,cornelius,0.005
0,sae,0.005
0,public,0.004
0,ibid,0.004
1,cost,0.011
1,accounting,0.011
1,new,0.008
1,hbc,0.008
1,zealand,0.006
1,trade,0.006
1,fur,0.005
1,post,0.004
1,council,0.004
1,year,0.004
2,sun,0.017
2,1966,0.008
2,production,0.007
2,sung,0.007
2,yinghsing,0.006
2,one,0.005
2,used,0.005
2,catty,0.004
2,century,0.004
2,use,0.004
